주소,위도,경도,지점
"경기도 김포시 김포한강9로 75번길 180, (구래동) 두원타워 8층",126.6244802,37.6449161,김포한강신도시
"경기도 남양주시 다산순환로 50, (다산동) 현대프리미엄아울렛 스페이스원 3층",127.1524291,37.616258,남양주현대아울렛 스페이스원
경기도 하남시 미사강변중앙로 218,127.1897332,37.5664362,미사강변
"경기도 고양시 일산동구 강송로33, (백석동) 벨라시타 2층",126.7932556,37.6429789,백석벨라시타
"경기도 부천시 옥길로 1, (옥길동) 스타필드시티 부천점 4층",126.8139133,37.4614757,부천스타필드시티
"경기도 성남시 분당구 황새울로 332, (서현동) 분당문화센터 1층",127.1223318,37.385533,분당
"경기도 안성시 공도읍 서동대로 3930-39, (진사리) 스타필드 안성 3층",127.1473035,36.9945212,안성스타필드
"경기도 양주시 고읍남로 6-6 (광사동, 해동센트럴타워 9층)",127.0801145,37.7962231,양주
"경기도 수원시 영통구 봉영로 1579, (영통동) 롯데쇼핑플라자 5층",127.0716575,37.2527349,영통
경기도 용인시 기흥구 구성로 357 (청덕동) 용인테크노밸리 A동 지하1층,127.1481243,37.2912791,용인테크노밸리
"경기도 의정부시 오목로205번길 55, (민락동) 메가타워 5층",127.0959372,37.7457741,의정부민락
"경기도 고양시 일산서구 호수로 817, (대화동) 레이킨스몰 3층",126.7511979,37.6682829,킨텍스
경기도 파주시 경의로 989 에스비프라자 3층 메가박스 파주운정점,126.7587427,37.7057077,파주운정
"경기도 파주시 문발로 220, (문발동) 파주출판단지 내 이채쇼핑몰 C동 2층",126.6877844,37.7138458,파주출판도시
"경기도 하남시 미사대로 750, (신장동) 스타필드 하남 4층",127.2238404,37.5454628,하남스타필드
인천광역시 서구 서곶로 788 (당하동) 홀리랜드 4층 메가박스 검단,126.6752901,37.5881561,검단
"인천광역시 연수구 송도과학로 16번길 33-4, (송도동) 트리플 스트리트 D동 2층",126.6628323,37.3786561,송도
"인천 중구 영종대로 184(운서동, 7층)",126.4987797,37.4922651,영종
"인천 서구 청라에메랄드로 99, 지젤M청라 4층 메가박스 청라지젤점",126.6557308,37.5336073,청라지젤
"충청남도 논산시 중앙로 255, 3,4층(내동, 우리메가박스타운)",127.0990133,36.1898965,논산
"대전광역시 서구 문정로 77, (탄방동) 로데오타운 5층",127.387991,36.3473187,대전
"대전광역시 유성구 엑스포로1, (도룡동) 대전신세계아트앤사이언스 6층",127.382032,36.3751116,대전신세계 아트앤사이언스
"대전광역시 유성구 계룡로132번길 10, (봉명동) 센트럴프라자 5층",127.3445723,36.3522386,대전유성
"대전광역시 중구 중앙로 126, (대흥동) 4층",127.4241138,36.3276451,대전중앙로
"대전광역시 유성구 테크노중앙로 123, (용산동) 현대프리미엄아울렛 대전점 3층",127.3985168,36.4234369,대전현대아울렛
세종특별자치시 조치원읍 새내로 122 메가박스,127.2981452,36.6028724,세종(조치원)
"세종특별자치시 나성로 38, (나성동) 세종 가로수길 건물 5층 A동",127.2637561,36.483485,세종나성
"세종특별자치시 도움3로 19, (어진동) 엠브릿지 지하1층",127.2580742,36.502895,세종청사
"충북 청주시 청원구 오창읍 중심상업1로 8-9, 3층",127.4285454,36.7122601,오창
충청북도 진천군 진천읍 중앙북1길 3 진천터미널,127.4389842,36.8595548,진천
"충청남도 천안시 서북구 1공단 1길 52, (두정동) 센트하임프라자 3층",127.1479778,36.8323895,천안
"충청남도 홍성군 홍북읍 청사로 174번길 2, 6층 메가박스 홍성내포점",126.678988,36.6593906,홍성내포
경상북도 예천군 호명면 새움3로 70 3층,128.4929877,36.5752758,경북도청
경상북도 경산시 하양읍 대경로 765,128.8232864,35.9136562,경산하양
"경상북도 구미시 인동가산로 14, (진평동) 시네마월드 7층",128.4179531,36.1072416,구미강동
경상북도 김천시 김천로74 한일빌딩4층,128.1106618,36.125539,김천
"경상북도 포항시 남구 오천읍 하원로47번길9, (원리) 1층",129.4034264,35.974495,남포항
"대구광역시 동구 동부로 149, (신천동) 신세계백화점 8층",128.6291671,35.8777043,대구신세계(동대구)
"경상남도 창원시 마산합포구 해안대로 51, (구. 성지아울렛) 유로스퀘어 6층)",128.563872,35.1818671,마산
"경상북도 문경시 모전로 65, (모전동) 홈플러스 문경점 1층",128.1903771,36.5873103,문경
"부산광역시 금정구 장전로 12번길 55, (장전동) 라퓨타 아일랜드 4층",129.0880946,35.2301166,부산대
대구광역시 북구 동암로 100,128.5617279,35.9440712,북대구(칠곡)
"부산광역시 사상구 사상로 201, (괘법동) 서부시외버스터미널 4층",128.9809858,35.1631462,사상
"경상남도 사천시 해안관광로 109-10(실안동), 아르떼 리조트 본관 4층",128.0377997,34.9492694,삼천포
"경상남도 양산시 물금읍 증산역로 177, (가촌리) 라피에스타 6층",129.0093721,35.3098631,양산증산
"부산광역시 기장군 정관읍 정관6로 39, 큐엠시네마타워 5층 메가박스 정관점",129.1783583,35.3194395,정관
"경상남도 창원시 성산구 용지로 58, (중앙동) 메가플렉스 8층",128.6757131,35.2213561,창원
"경상남도 창원시 마산회원구 내서읍 광려천서로 81, (내서읍) ISC프라자 10층",128.5106685,35.2490244,창원내서
"경상북도 포항시 남구 중흥로 77, (상도동) 밸류플러스 7층",129.3489248,36.0127407,포항
"부산광역시 해운대구 해운대로 813 (좌동, NC백화점 8층) 메가박스 해운대(장산)지점",129.1770418,35.1705169,해운대(장산)
전라남도 목포시 옥암로 95 (상동) 포르모큐브몰 3층,126.4254379,34.8073337,목포하당(포르모)
전남 여수시 신월로 96 3층 메가박스 여수웅천점,127.6789354,34.7491033,여수웅천
전라북도 전주시 완산구 전주객사4길 74-12(고사동) 메가박스 전주객사지점,127.143712,35.8208672,전주객사
"전라북도 전주시 덕진구 기지로 77 (장동, 전북혁신도시 더 M city 센텀) 2층",127.0605142,35.8390606,전주송천
"강원특별자치도 춘천시 춘천로17번길 17 (온의동, 뉴타운빌딩 2F)",127.7202293,37.8664269,남춘천
강원특별자치도 원주시 서원대로 165-3 아트스페이스빌딩 6층,127.9298685,37.3450028,원주
"강원특별자치도 원주시 황금로 2, 센트럴파크 7층 / 강원특별자치도 원주시 양지로 80, (반곡동, 센트럴파크 7층)",127.9865826,37.3277893,원주센트럴
"강원특별자치도 춘천시 후석로 120, (석사동) 춘천NH타운 ENTA 2층",127.7482199,37.8633018,춘천석사
제주특별자치도 서귀포시 동홍동 1372-1,126.5627615,33.2616361,제주서귀포
